Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
1,1 1 4 6,4.36,99.2%,4.63,1.45
2,1 1 3 8,4.4,99.2%,4.67,1.47
3,1 1 11 11,4.41,99.5%,4.67,1.42
4,1 1 1 8,4.45,98.8%,4.66,1.25
5,6 6 6 6,4.57,99.5%,4.8,1.47
6,1 1 2 12,4.59,99.2%,4.93,1.53
7,1 2 2 6,4.77,99.3%,5.12,1.58
8,1 1 10 12,4.79,99%,5.04,1.53
9,1 1 1 12,4.81,99.3%,5.13,1.59
10,2 2 10 10,4.82,98.2%,5.12,1.6
11,1 1 2 8,4.96,97.8%,5.31,1.73
12,2 2 2 12,4.99,99.2%,5.35,1.7
13,1 1 12 12,5,99.3%,5.37,1.63
14,1 1 3 12,5.02,97.5%,5.37,1.83
15,1 1 5 8,5.02,96.5%,5.39,1.83
16,1 1 4 8,5.03,98.2%,5.4,1.83
17,4 6 11 11,5.03,98.9%,5.42,1.74
18,1 1 4 12,5.04,97.4%,5.47,1.82
19,1 1 2 6,5.05,98.6%,5.39,1.61
20,3 3 3 8,5.06,98.2%,5.45,1.81
21,1 1 2 11,5.07,99%,5.41,1.69
22,1 1 13 13,5.13,99.4%,5.46,1.65
23,1 2 3 4,5.14,99.2%,5.5,1.83
24,11 11 12 12,5.14,98.8%,5.54,1.88
25,3 7 7 8,5.16,96.7%,5.53,1.92
26,1 1 5 6,5.17,97%,5.63,2.04
27,1 1 2 13,5.18,98.8%,5.51,1.79
28,1 1 3 9,5.18,97%,5.52,1.84
29,1 2 4 12,5.18,97.7%,5.61,2
30,7 7 12 12,5.19,98.6%,5.58,1.83
31,4 6 7 7,5.2,98.7%,5.55,1.83
32,1 1 3 6,5.21,97.9%,5.56,1.79
33,1 1 11 13,5.22,99.1%,5.64,1.81
34,1 1 11 12,5.25,99.4%,5.64,1.76
35,4 5 12 12,5.25,97.1%,5.61,1.79
36,4 6 13 13,5.26,98.8%,5.67,1.8
37,1 6 6 12,5.27,98.8%,5.59,1.7
38,4 4 4 6,5.27,98.2%,5.66,1.95
39,1 1 1 11,5.28,97.5%,5.6,1.68
40,1 8 8 8,5.29,97.9%,5.63,1.9
41,12 12 12 12,5.29,99.3%,5.73,2.07
42,2 2 3 8,5.3,98.2%,5.68,1.89
43,2 7 7 12,5.31,98.8%,5.69,1.91
44,11 11 11 12,5.32,95%,5.61,1.98
45,2 11 11 12,5.33,97.3%,5.73,2.01
46,10 10 12 12,5.33,98.6%,5.79,1.93
47,1 5 7 12,5.35,98.4%,5.89,2.09
48,1 1 5 5,5.36,99.1%,5.74,1.82
49,2 9 9 12,5.36,97.4%,5.78,2.02
50,3 8 13 13,5.37,95.1%,5.76,2.1
51,8 8 12 12,5.37,98.6%,5.81,1.95
52,9 9 12 12,5.37,98.4%,5.87,2.12
53,3 8 11 11,5.39,96.3%,5.74,2.05
54,12 12 13 13,5.39,98.8%,5.81,1.93
55,1 1 4 5,5.4,97.9%,5.78,1.99
56,1 6 8 12,5.4,97%,5.79,2.01
57,3 3 12 12,5.4,98.8%,5.88,2.04
58,5 6 12 12,5.41,97.2%,5.79,1.81
59,3 8 10 10,5.42,95.6%,5.86,2.21
60,3 8 9 9,5.43,96.9%,5.78,1.95
61,5 5 12 12,5.43,98.8%,5.8,1.73
62,11 12 12 12,5.44,97.9%,5.77,1.88
63,1 1 12 13,5.45,98.8%,5.84,1.85
64,1 9 9 12,5.47,95.8%,5.77,1.8
65,2 3 3 12,5.47,98.6%,5.95,2.06
66,2 5 5 12,5.47,98.8%,5.87,1.95
67,3 4 4 8,5.47,98.4%,5.9,1.96
68,1 1 3 7,5.48,97.1%,5.81,1.93
69,1 3 5 12,5.48,96.6%,5.87,2.14
70,1 4 10 10,5.49,97.9%,5.89,2.06
71,7 7 11 12,5.49,93.7%,5.83,2.13
72,2 12 13 13,5.5,97.2%,5.87,2.03
73,4 4 12 12,5.5,98.7%,5.94,2.04
74,5 5 11 12,5.52,96.5%,5.88,1.9
75,1 1 1 13,5.54,97.4%,5.88,1.77
76,1 2 5 8,5.54,95.9%,5.98,2.25
77,1 8 9 12,5.55,96.4%,5.88,1.97
78,1 3 4 12,5.56,98.6%,5.99,1.96
79,6 7 12 12,5.56,95.8%,5.94,2.02
80,11 11 11 13,5.56,98.4%,6.11,2.26
81,1 1 4 7,5.57,97.2%,5.92,2.06
82,2 2 4 6,5.57,99%,5.92,1.88
83,2 3 12 12,5.57,97.4%,5.95,1.96
84,3 5 5 8,5.57,97.1%,5.96,2.06
85,1 3 10 10,5.58,97.5%,5.91,2
86,1 4 7 12,5.59,98.4%,6.01,2.04
87,1 6 7 12,5.59,98.6%,6.02,2
88,2 3 3 8,5.6,97%,5.99,1.96
89,4 6 6 6,5.6,98.5%,5.98,2.03
90,1 3 3 4,5.61,97.6%,5.86,1.77
91,1 8 8 12,5.63,96.3%,5.94,1.91
92,8 8 11 13,5.63,97.1%,6.16,2.3
93,9 9 11 12,5.63,94%,5.98,2.14
94,3 7 8 8,5.64,96.3%,6.04,2.06
95,2 7 7 8,5.65,96.9%,5.99,2.02
96,4 5 5 6,5.65,97.5%,6.08,2.12
97,4 5 11 12,5.65,97.5%,6.07,2.08
98,5 5 7 7,5.66,97.9%,6.01,1.93
99,3 3 11 12,5.68,94.7%,6.12,2.22
100,1 6 9 12,5.69,95.7%,6.06,2.1
101,3 3 4 6,5.69,97.8%,6.13,2.08
102,1 1 2 10,5.7,95.7%,6.01,1.84
103,2 2 2 3,5.7,99%,5.97,1.7
104,1 2 5 12,5.71,95.5%,6.15,2.2
105,1 7 9 12,5.71,96.2%,6.11,2.22
106,4 4 11 13,5.71,98.1%,6.31,2.37
107,1 1 10 13,5.72,98%,6.14,2.19
108,7 8 12 12,5.72,96%,6.15,2.16
109,1 2 2 10,5.73,96.5%,6.11,2.16
110,1 2 2 12,5.74,97.8%,6.12,2
111,3 6 11 11,5.74,94.6%,6.03,2.09
112,3 7 7 7,5.75,97.7%,6.09,2.04
113,6 6 12 12,5.75,98.4%,6.29,2.31
114,1 5 6 12,5.76,98.6%,6.14,2.04
115,1 6 6 11,5.76,98.3%,6.23,2.24
116,1 7 7 10,5.76,98.1%,6.19,2.13
117,2 2 12 12,5.76,98.6%,6.26,2.23
118,4 8 11 11,5.76,95.3%,6.08,2
119,3 8 8 8,5.77,97.6%,6.13,2.15
120,2 2 3 12,5.78,98.2%,6.2,2.05
121,4 4 11 12,5.78,92%,6.12,2.39
122,8 9 12 12,5.79,96.3%,6.27,2.22
123,2 8 9 9,5.8,96.4%,6.22,2.13
124,12 12 12 13,5.8,97.5%,6.13,2
125,3 4 4 6,5.81,97.5%,6.15,1.95
126,4 6 9 9,5.81,96.5%,6.23,2.28
127,6 6 11 13,5.81,97.9%,6.31,2.2
128,9 9 11 13,5.83,96.9%,6.4,2.41
129,1 4 4 12,5.84,95.8%,6.32,2.32
130,3 8 12 13,5.85,96.1%,6.22,2.19
131,11 13 13 13,5.85,97.9%,6.42,2.42
132,4 6 6 7,5.86,96.5%,6.24,2.1
133,2 10 10 12,5.87,97.2%,6.28,2.3
134,7 7 11 13,5.87,97.7%,6.41,2.37
135,1 5 8 8,5.88,95%,6.43,2.66
136,5 6 11 12,5.89,97.2%,6.37,2.23
137,3 6 13 13,5.91,94.5%,6.18,1.99
138,1 3 6 12,5.92,96.8%,6.33,2.22
139,1 4 8 12,5.92,97.6%,6.31,2.2
140,1 8 10 12,5.92,95.8%,6.24,2.19
141,2 4 4 12,5.92,98.5%,6.3,2.16
142,4 5 12 13,5.92,97.7%,6.43,2.15
143,1 4 6 12,5.93,96.8%,6.4,2.54
144,2 4 11 11,5.93,96.3%,6.35,2.33
145,3 4 11 13,5.93,96.6%,6.41,2.38
146,3 8 10 11,5.93,94.6%,6.31,2.35
147,4 6 8 8,5.93,96.9%,6.38,2.27
148,4 6 10 11,5.93,94.5%,6.33,2.41
149,1 4 5 12,5.95,95.8%,6.39,2.37
150,1 11 11 12,5.95,93.6%,6.19,2.22
151,1 12 13 13,5.95,94.5%,6.28,2.18
152,3 6 6 8,5.96,97.1%,6.38,2.26
153,3 6 7 7,5.96,93.5%,6.35,2.43
154,4 8 10 10,5.96,97.3%,6.37,2.15
155,6 6 10 13,5.96,93.8%,6.49,2.71
156,9 10 12 12,5.96,95.9%,6.28,2.05
157,1 2 11 11,5.97,97.4%,6.47,2.42
158,1 2 6 6,5.98,97.6%,6.43,2.22
159,1 3 3 12,5.98,95.5%,6.38,2.34
160,10 10 11 13,5.99,97.4%,6.54,2.35
161,1 2 4 4,6,97.1%,6.35,2.11
162,1 3 6 8,6,95.8%,6.44,2.55
163,1 5 7 11,6,98.6%,6.5,2.17
164,1 1 3 13,6.01,95.3%,6.37,2.12
165,1 6 7 10,6.01,98.5%,6.57,2.26
166,2 8 10 10,6.01,95.5%,6.35,2.1
167,3 7 10 10,6.01,97.3%,6.41,2.22
168,4 6 10 10,6.01,96.7%,6.39,2.38
169,1 7 8 10,6.02,97.7%,6.46,2.3
170,2 8 8 12,6.02,97.4%,6.54,2.48
171,1 7 8 9,6.03,97.3%,6.47,2.29
172,5 5 5 5,6.03,95.2%,6.49,2.24
173,1 10 10 12,6.04,92.6%,6.27,2.13
174,2 2 11 13,6.04,98.1%,6.61,2.43
175,4 5 5 5,6.04,97.6%,6.61,2.43
176,4 8 13 13,6.04,94.6%,6.3,1.95
177,1 2 6 12,6.05,96.9%,6.43,2.26
178,1 5 8 12,6.05,98.3%,6.5,2.2
179,3 4 12 12,6.05,94.8%,6.53,2.46
180,10 11 12 12,6.05,96.1%,6.36,2.09
181,1 2 10 12,6.06,97.4%,6.56,2.39
182,1 6 12 12,6.06,94.5%,6.44,2.43
183,1 1 4 4,6.09,94.6%,6.39,2.44
184,4 7 7 8,6.09,93.9%,6.58,2.54
185,3 8 12 12,6.1,96.7%,6.54,2.47
186,5 6 12 13,6.1,97.5%,6.52,2.18
187,1 1 6 6,6.11,97.4%,6.55,2.22
188,2 2 11 12,6.12,92.5%,6.52,2.55
189,3 3 4 8,6.12,96.4%,6.46,2.14
190,3 9 9 9,6.12,97.6%,6.56,2.19
191,1 6 8 9,6.13,98.3%,6.57,2.35
192,2 11 12 12,6.13,95.6%,6.55,2.27
193,1 1 3 4,6.14,98.1%,6.48,2.05
194,1 3 9 12,6.14,96.4%,6.57,2.4
195,1 2 6 8,6.15,96.2%,6.49,2.36
196,1 7 7 12,6.15,89.1%,6.29,2.35
197,1 7 8 8,6.16,96.6%,6.67,2.66
198,5 5 12 13,6.16,95.6%,6.64,2.15
199,1 2 3 10,6.17,98.3%,6.49,1.98
200,3 3 3 12,6.17,97%,6.66,2.46
201,1 1 9 13,6.18,97.3%,6.63,2.52
202,1 2 4 8,6.18,96.6%,6.59,2.38
203,2 8 13 13,6.18,90.2%,6.5,2.62
204,3 8 11 12,6.18,94.2%,6.69,2.72
205,1 5 5 12,6.2,90.1%,6.41,2.38
206,1 5 7 13,6.2,97.9%,6.6,2.12
207,2 11 11 11,6.2,89.6%,6.27,2.48
208,3 3 11 13,6.2,97.1%,6.73,2.55
209,8 8 11 12,6.2,91%,6.59,2.7
210,10 13 13 13,6.21,93.5%,6.71,2.88
211,2 13 13 13,6.22,91%,6.43,2.4
212,5 5 5 6,6.22,96.4%,6.68,2.32
213,5 5 11 13,6.22,96.3%,6.87,2.62
214,1 2 3 8,6.23,97%,6.68,2.42
215,10 10 11 12,6.23,93.5%,6.61,2.36
216,2 2 4 5,6.24,98.3%,6.61,2.08
217,1 2 13 13,6.25,97.3%,6.95,2.68
218,1 4 7 8,6.25,96.6%,6.78,2.73
219,7 7 12 13,6.25,93.9%,6.69,2.38
220,1 8 10 13,6.26,94.9%,6.6,2.39
221,3 3 3 6,6.26,97.7%,6.8,2.6
222,11 12 13 13,6.26,95.3%,6.75,2.49
223,1 1 5 7,6.27,96.6%,6.61,2.12
224,2 3 11 12,6.27,95%,6.84,2.83
225,2 2 2 8,6.28,96.4%,6.85,2.71
226,3 11 11 12,6.28,91.4%,6.52,2.23
227,1 3 11 11,6.29,97.3%,6.7,2.43
228,1 4 6 8,6.29,94.9%,6.67,2.56
229,1 5 10 10,6.29,97.4%,6.68,2.3
230,1 4 8 8,6.3,96.7%,6.8,2.51
231,4 4 5 6,6.3,95.9%,6.61,2.25
232,1 10 12 12,6.31,95.9%,6.89,2.91
233,9 9 12 13,6.33,94%,6.69,2.24
234,1 2 3 12,6.34,96.2%,6.86,2.54
235,1 2 10 11,6.34,97.6%,6.7,2.39
236,6 7 11 12,6.35,97%,6.89,2.61
237,1 2 2 8,6.36,93.5%,6.8,2.7
238,4 4 10 13,6.36,93.6%,6.83,2.82
239,4 8 9 9,6.36,90.7%,6.58,2.38
240,2 7 8 12,6.37,95.2%,6.84,2.61
241,7 9 11 11,6.37,95.7%,6.85,2.67
242,1 2 12 12,6.38,96.2%,6.72,2.21
243,2 12 12 12,6.39,98.4%,6.77,2.45
244,3 6 7 8,6.39,97.9%,6.81,2.3
245,4 7 12 12,6.39,88.5%,6.74,3.02
246,4 6 12 13,6.4,93.8%,6.89,2.92
247,6 6 11 12,6.4,89.3%,6.74,2.97
248,1 4 4 5,6.41,96.7%,6.97,2.75
249,1 5 8 9,6.42,94.3%,6.92,2.73
250,1 2 8 8,6.43,96.2%,7,2.72
251,1 8 8 9,6.43,96.5%,6.95,2.68
252,2 12 12 13,6.43,95.7%,6.84,2.43
253,1 3 8 9,6.44,92.3%,7.03,3.36
254,1 4 12 12,6.44,91.3%,6.7,2.57
255,2 5 6 12,6.44,95.4%,6.85,2.55
256,1 5 7 8,6.45,94.9%,6.84,2.48
257,2 6 6 12,6.46,97.7%,7.03,2.6
258,3 6 10 11,6.46,96%,7.12,2.89
259,1 1 3 11,6.47,94.7%,6.72,2.01
260,1 6 6 13,6.47,97.4%,6.87,2.47
261,3 12 13 13,6.47,91.3%,6.67,2.33
262,10 10 10 13,6.47,93.1%,6.91,3.01
263,2 8 11 11,6.48,88.9%,6.66,2.84
264,1 6 9 9,6.49,97.5%,6.94,2.51
265,12 13 13 13,6.49,94.7%,6.85,2.43
266,1 3 6 6,6.5,97.3%,7,2.62
267,4 5 6 6,6.5,95.4%,6.85,2.37
268,4 5 9 9,6.5,88.2%,6.75,2.79
269,1 2 4 6,6.51,96%,6.92,2.55
270,1 9 12 12,6.51,92.9%,6.92,2.78
271,6 10 10 10,6.51,95.9%,6.78,2.28
272,10 11 11 13,6.51,94.8%,6.93,2.64
273,3 7 9 9,6.52,90.9%,6.95,2.85
274,8 8 8 10,6.53,90.3%,6.84,2.94
275,2 8 10 11,6.55,95%,7.07,2.71
276,4 6 7 8,6.55,95.7%,7.01,2.51
277,1 3 3 7,6.56,96%,7.38,3.34
278,3 9 9 12,6.56,95.2%,7,2.63
279,2 4 5 12,6.57,94.7%,7.01,2.84
280,2 11 13 13,6.57,94.2%,6.99,2.59
281,1 3 3 5,6.58,95.2%,6.9,2.52
282,1 6 7 11,6.58,97.4%,7.17,2.88
283,1 7 8 12,6.58,95.6%,7.03,2.68
284,2 8 8 13,6.58,93%,7.02,2.65
285,3 5 11 11,6.58,94.7%,7.13,2.99
286,1 3 5 8,6.59,95.3%,7.28,2.98
287,1 4 6 13,6.59,97.7%,7,2.35
288,2 3 11 13,6.59,91.8%,7.06,2.91
289,3 4 5 8,6.59,96.3%,7.08,2.69
290,3 10 10 12,6.6,94.5%,6.97,2.36
291,4 5 13 13,6.6,87.5%,6.79,2.88
292,4 6 11 12,6.6,93%,7.03,2.97
293,1 5 10 12,6.61,92.1%,7.04,3.05
294,2 2 2 11,6.61,92.3%,6.96,2.79
295,2 10 11 12,6.62,95.8%,6.95,2.42
296,3 7 7 12,6.63,90.2%,6.8,2.6
297,1 4 7 13,6.64,96.7%,7.27,2.92
298,2 3 4 6,6.64,97.8%,7.05,2.31
299,4 6 12 12,6.64,97%,7.11,2.47
300,1 3 3 9,6.65,96.8%,7.29,2.87
301,1 4 4 7,6.65,96.2%,7.37,3.21
302,1 6 8 10,6.65,97.3%,7.09,2.43
303,4 4 4 4,6.65,97.9%,7.21,2.97
304,3 7 13 13,6.67,87.5%,6.79,2.79
305,1 2 3 6,6.68,97.1%,7.12,2.42
306,1 3 13 13,6.68,97.2%,7.21,2.64
307,1 2 5 5,6.69,95.1%,7.24,2.94
308,1 7 7 11,6.69,97.1%,7.27,2.64
309,7 8 11 12,6.69,96.2%,7.16,2.68
310,1 5 8 10,6.7,96.5%,7.2,2.58
311,2 8 9 12,6.7,95.3%,7.12,2.78
312,3 6 6 7,6.7,93.8%,7.18,2.71
313,1 2 10 13,6.71,97.1%,7.21,2.75
314,3 7 11 11,6.71,87.8%,6.94,3.15
315,3 8 9 10,6.71,96.3%,7.05,2.53
316,5 6 6 7,6.71,97.8%,7.17,2.43
317,2 2 8 12,6.72,98.2%,7.15,2.33
318,1 1 2 7,6.73,95.5%,6.94,2.06
319,1 10 11 12,6.73,94.9%,7.13,2.56
320,9 9 10 13,6.73,91%,6.94,2.73
321,2 2 5 5,6.74,93.4%,7.11,2.49
322,4 4 12 13,6.74,92.2%,7.12,2.63
323,1 12 12 12,6.75,93.9%,6.96,2.58
324,4 4 5 5,6.75,93.3%,7.24,2.64
325,5 7 10 12,6.75,96.8%,7.24,2.52
326,1 2 5 6,6.76,94.4%,7.25,2.81
327,1 3 3 3,6.76,95.7%,7.15,2.54
328,2 5 6 11,6.76,96.3%,7.26,2.64
329,3 3 5 6,6.76,96.5%,7.38,2.69
330,6 8 10 12,6.77,97.4%,7.34,2.8
331,1 9 11 12,6.78,93.8%,7.28,3.1
332,6 7 12 13,6.78,95.5%,7.29,2.77
333,1 1 2 9,6.79,95%,7.12,2.32
334,1 4 8 13,6.8,97.4%,7.18,2.48
335,2 2 2 4,6.8,96.1%,7.16,2.49
336,3 4 10 13,6.82,96.5%,7.29,2.83
337,5 6 7 7,6.83,87.3%,6.95,2.79
338,1 2 5 7,6.84,95.3%,7.17,2.63
339,2 2 2 13,6.84,93.6%,7.23,2.8
340,2 11 11 13,6.84,95.1%,7.37,2.86
341,3 3 12 13,6.84,93.4%,7.28,2.67
342,1 5 6 6,6.85,93.8%,7.55,3.46
343,1 6 8 11,6.85,97.8%,7.3,2.44
344,2 3 12 13,6.85,95.9%,7.35,2.64
345,5 7 11 11,6.86,96.3%,7.27,2.65
346,8 9 11 12,6.86,95.2%,7.54,3.11
347,3 4 5 7,6.87,96.7%,7.38,2.7
348,4 7 7 7,6.87,88.8%,7.08,3.04
349,4 8 8 8,6.87,94.5%,7.26,2.79
350,7 7 10 13,6.87,90%,7.19,3.17
351,4 4 4 8,6.88,96.4%,7.48,2.9
352,4 5 11 11,6.88,87.4%,7.37,3.74
353,2 4 4 8,6.89,96.5%,7.29,2.66
354,2 6 6 8,6.9,95.7%,7.5,3.03
355,3 3 3 3,6.9,96%,7.57,3.41
356,7 9 13 13,6.9,96.6%,7.46,2.76
357,11 12 12 13,6.9,97.1%,7.5,2.71
358,1 1 4 9,6.91,93.6%,7.13,2.35
359,7 8 12 13,6.91,96.7%,7.4,2.63
360,1 1 3 5,6.92,95.4%,7.24,2.32
361,1 2 11 13,6.92,93.5%,7.54,3.16
362,2 4 13 13,6.93,95.9%,7.47,2.75
363,8 9 12 13,6.93,96%,7.42,2.68
364,1 1 6 12,6.94,90.9%,7.5,3.43
