Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s),difficulty_level
1298,4 9 11 11,46.7,44.4,26.17,14.27,very_hard
899,6 8 9 9,10.32,86.3,10.32,4.28,hard
364,1 1 6 12,6.94,90.9,7.5,3.43,medium
375,1 9 10 12,6.97,94.0,7.35,2.83,easy
519,1 2 4 13,7.59,93.8,7.94,2.98,easy
872,2 3 9 13,10.04,87.7,10.28,5.32,hard
27,1 1 2 13,5.18,98.8,5.51,1.79,very_easy
898,5 5 5 9,10.32,87.5,10.07,4.21,hard
49,2 9 9 12,5.36,97.4,5.78,2.02,very_easy
865,1 5 5 11,9.97,87.7,10.09,4.24,hard
1124,3 5 9 9,14.57,78.8,13.36,6.29,very_hard
380,11 11 12 13,6.99,95.2,7.46,2.53,easy
700,2 4 6 6,8.62,94.3,9.32,3.9,easy
294,2 2 2 11,6.61,92.3,6.96,2.79,medium
1142,4 4 4 10,15.24,76.6,13.02,6.5,very_hard
526,1 4 5 5,7.61,95.9,8.1,2.79,easy
1107,1 1 6 9,14.03,80.6,12.04,6.79,hard
92,8 8 11 13,5.63,97.1,6.16,2.3,very_easy
544,3 6 10 12,7.7,93.1,8.24,3.53,easy
448,1 7 10 12,7.27,92.8,7.7,3.12,easy
589,3 12 12 12,7.93,91.2,8.28,3.45,medium
420,2 3 3 13,7.16,94.0,7.71,2.99,easy
1069,4 4 7 8,12.95,83.9,12.64,5.76,hard
763,3 7 10 13,9.02,88.3,9.52,4.81,medium
1134,3 4 4 10,15.04,76.7,12.51,6.9,very_hard
846,3 8 9 12,9.7,90.2,10.11,4.54,medium
676,1 3 4 9,8.39,94.6,8.94,3.85,easy
586,5 8 12 12,7.92,75.3,7.05,3.79,very_hard
738,5 5 9 10,8.87,86.6,9.23,4.42,hard
690,4 7 8 9,8.55,91.9,8.94,3.78,medium
511,4 4 4 7,7.56,91.4,7.96,3.42,medium
562,2 4 5 13,7.79,94.7,8.37,3.35,easy
534,3 3 10 13,7.65,89.2,7.92,3.6,medium
656,3 5 6 6,8.28,92.2,8.81,3.64,medium
158,1 2 6 6,5.98,97.6,6.43,2.22,very_easy
243,2 12 12 12,6.39,98.4,6.77,2.45,very_easy
1062,3 3 3 4,12.85,82.1,11.83,5.97,hard
1345,2 2 10 11,98.41,30.8,26.65,17.39,very_hard
1146,1 5 11 12,15.47,71.2,11.73,6.23,very_hard
1133,2 2 3 4,15.01,77.2,13.13,6.06,very_hard
471,10 12 12 13,7.37,90.1,7.81,3.55,medium
183,1 1 4 4,6.09,94.6,6.39,2.44,easy
357,11 12 12 13,6.9,97.1,7.5,2.71,very_easy
972,3 3 9 12,11.24,87.2,11.28,5.08,hard
369,4 5 7 7,6.94,91.1,7.55,3.62,medium
74,5 5 11 12,5.52,96.5,5.88,1.9,very_easy
148,4 6 10 11,5.93,94.5,6.33,2.41,easy
578,1 4 9 12,7.88,96.2,8.5,3.35,very_easy
950,5 10 12 13,10.89,83.4,10.44,4.52,hard
476,1 3 7 8,7.39,89.5,7.64,3.61,medium
1192,2 7 10 10,17.74,67.9,13.96,6.07,very_hard
123,2 8 9 9,5.8,96.4,6.22,2.13,very_easy
963,2 7 12 13,11.07,80.2,10.18,5.13,hard
1030,2 6 10 13,12.07,84.7,11.68,5.62,hard
529,2 2 7 8,7.62,93.6,7.98,3.03,easy
1317,4 4 10 10,62.74,39.6,14.27,9.71,very_hard
